Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-06-10,Gifts,UPI,Anniversary gift,497.26,49.71
2024-06-06,Groceries,UPI,Buying meat and dairy products,309.06,17.02
2024-06-28,Transportation,Credit Card,Taxi fare to a meeting,309.96,29.86
2024-06-13,Groceries,UPI,Buying meat and dairy products,790.67,58.65
2024-06-01,Gifts,Cash,Anniversary gift,678.6,36.17
2024-06-21,Gifts,Credit Card,Anniversary gift,478.09,14.85
2024-06-21,Subscriptions,Debit Card,Online course fee,765.37,41.7
2024-06-08,Transportation,Credit Card,Uber ride to the airport,492.52,46.98
2024-06-19,Travel,UPI,Travel insurance,347.32,17.58
2024-06-20,Investment,Cash,Cryptocurrency purchase,470.97,0.0
2024-06-09,Bills,UPI,Insurance premium payment,614.38,51.43
2024-06-17,Groceries,Credit Card,Weekly grocery shopping,834.44,9.05
2024-06-06,Entertainment,Cash,Video game purchase,79.14,2.82
2024-06-21,Entertainment,Cash,Streaming service subscription,934.44,22.24
2024-06-29,Personal,Cash,Books and stationery,100.7,8.23
2024-06-18,Travel,Cash,Hotel booking for vacation,304.26,3.8
2024-06-24,Transportation,Credit Card,Gas for the car,394.19,34.91
2024-06-29,Investment,Debit Card,Cryptocurrency purchase,597.49,0.0
2024-06-03,Travel,Net Banking,Travel insurance,637.77,58.89
2024-06-19,Investment,Credit Card,Stock purchase,347.85,0.0
2024-06-09,Subscriptions,Debit Card,Streaming service subscription,80.7,4.62
2024-06-14,Investment,Net Banking,Investment in startup,263.39,0.0
2024-06-23,Transportation,Cash,Public transport monthly pass,956.17,51.95
2024-06-06,Investment,Net Banking,Mutual fund contribution,645.06,0.0
2024-06-18,Subscriptions,Cash,Online course fee,152.38,7.13
2024-06-08,Subscriptions,Cash,Online course fee,841.12,71.63
2024-06-21,Food,Debit Card,Dinner at a restaurant,597.11,6.11
2024-06-09,Food,Net Banking,Snacks for cravings,638.56,26.21
2024-06-16,Gifts,UPI,Anniversary gift,501.41,44.49
2024-06-01,Investment,Debit Card,Retirement account contribution,639.66,0.0
2024-06-06,Bills,Credit Card,Mobile phone bill,741.63,65.8
2024-06-29,Entertainment,Credit Card,Video game purchase,567.24,33.29
2024-06-17,Gifts,Credit Card,Gift for a colleague,798.8,42.73
2024-06-28,Personal,Cash,Personal care products,474.05,45.88
2024-06-28,Food,Debit Card,Lunch with friends,376.02,14.9
2024-06-26,Transportation,Debit Card,Taxi fare to a meeting,855.25,45.76
2024-06-25,Travel,UPI,Flight tickets to a destination,542.15,28.92
2024-06-07,Subscriptions,Cash,Online course fee,319.31,21.71
2024-06-13,Personal,Credit Card,Personal care products,642.39,20.5
2024-06-06,Subscriptions,UPI,Gym membership,991.79,92.14
2024-06-26,Entertainment,Cash,Movie tickets for the weekend,237.78,8.26
2024-06-22,Gifts,Debit Card,Gift for a colleague,724.73,48.4
2024-06-02,Entertainment,Net Banking,Video game purchase,641.38,21.72
2024-06-15,Transportation,Credit Card,Gas for the car,438.66,12.13
2024-06-18,Bills,Debit Card,Insurance premium payment,50.83,3.52
2024-06-18,Gifts,Debit Card,Gift for a colleague,578.83,16.69
2024-06-24,Transportation,Net Banking,Gas for the car,300.1,9.4
2024-06-17,Groceries,Net Banking,Household supplies,308.17,19.66
2024-06-24,Personal,UPI,Books and stationery,535.51,22.64
2024-06-25,Investment,UPI,Real estate investment,903.21,0.0
2024-06-08,Entertainment,UPI,Streaming service subscription,825.74,15.55
2024-06-02,Travel,Debit Card,Sightseeing tour tickets,551.11,47.39
2024-06-02,Investment,Net Banking,Retirement account contribution,864.92,0.0
2024-06-18,Investment,Debit Card,Stock purchase,698.6,0.0
2024-06-02,Bills,Net Banking,Water bill payment,614.45,41.01
2024-06-11,Travel,Net Banking,Travel insurance,49.26,3.82
2024-06-10,Entertainment,Credit Card,Streaming service subscription,370.63,17.35
2024-06-24,Travel,Credit Card,Travel insurance,432.06,43.07
2024-06-22,Investment,Credit Card,Real estate investment,739.37,0.0
2024-06-17,Personal,Debit Card,Books and stationery,646.43,60.26
2024-06-01,Investment,Net Banking,Dividend reinvestment,114.25,0.0
2024-06-27,Transportation,UPI,Taxi fare to a meeting,958.97,24.77
2024-06-27,Bills,UPI,Water bill payment,389.19,35.54
2024-06-26,Entertainment,Net Banking,Concert tickets,822.71,16.67
2024-06-05,Investment,Net Banking,Mutual fund contribution,914.24,0.0
2024-06-20,Bills,UPI,Water bill payment,882.83,57.98
2024-06-14,Food,Debit Card,Takeout from a local diner,189.19,2.72
2024-06-05,Bills,Debit Card,Mobile phone bill,987.4,89.29
2024-06-02,Food,Debit Card,Takeout from a local diner,407.18,13.01
2024-06-04,Food,Net Banking,Coffee and pastries at a café,148.34,9.67
2024-06-16,Gifts,Debit Card,Gift for a colleague,799.18,55.75
