Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-12-09,Transportation,Cash,Gas for the car,944.2,87.25
2024-12-24,Groceries,Net Banking,Buying fresh produce,98.24,0.68
2024-12-13,Travel,Cash,Hotel booking for vacation,763.36,37.56
2024-12-12,Food,Debit Card,Snacks for cravings,931.59,20.75
2024-12-04,Groceries,Credit Card,Weekly grocery shopping,169.55,1.51
2024-12-30,Bills,Cash,Insurance premium payment,354.09,19.25
2024-12-11,Bills,Debit Card,Water bill payment,215.48,9.0
2024-12-05,Gifts,Cash,Holiday gift,7.16,0.66
2024-12-03,Personal,Credit Card,Personal care products,580.32,8.16
2024-12-10,Personal,UPI,Books and stationery,767.66,7.94
2024-12-16,Groceries,Cash,Buying meat and dairy products,171.09,0.93
2024-12-02,Bills,Net Banking,Internet service charge,707.84,48.26
2024-12-30,Groceries,Credit Card,Household supplies,967.36,44.88
2024-12-05,Investment,Credit Card,Bond investment,274.16,0.0
2024-12-16,Gifts,UPI,Charity donation,518.95,28.2
2024-12-28,Travel,Net Banking,Sightseeing tour tickets,149.24,2.48
2024-12-08,Entertainment,Debit Card,Dining out with friends,343.43,31.9
2024-12-24,Transportation,UPI,Taxi fare to a meeting,793.23,59.39
2024-12-11,Transportation,Credit Card,Parking fees,295.28,27.81
2024-12-10,Subscriptions,UPI,Streaming service subscription,693.8,46.37
2024-12-15,Subscriptions,Credit Card,Streaming service subscription,480.68,16.93
2024-12-13,Personal,Net Banking,Books and stationery,329.35,15.14
2024-12-22,Subscriptions,Cash,Monthly magazine subscription,597.39,2.87
2024-12-01,Subscriptions,Cash,Monthly magazine subscription,279.51,11.96
2024-12-12,Travel,Cash,Hotel booking for vacation,766.29,75.24
2024-12-07,Bills,Cash,Electricity bill payment,359.79,32.01
2024-12-06,Personal,Net Banking,Books and stationery,967.37,38.11
2024-12-16,Gifts,UPI,Birthday gift for a friend,171.77,3.2
2024-12-19,Subscriptions,Credit Card,Streaming service subscription,145.6,1.07
2024-12-04,Food,Credit Card,Snacks for cravings,49.04,2.98
2024-12-01,Food,Credit Card,Dinner at a restaurant,11.29,0.72
2024-12-16,Food,Net Banking,Dinner at a restaurant,782.03,3.73
2024-12-01,Personal,Credit Card,Clothing purchase,130.91,3.19
2024-12-07,Travel,Net Banking,Flight tickets to a destination,271.58,24.33
2024-12-04,Bills,Debit Card,Electricity bill payment,617.78,48.11
2024-12-06,Investment,Cash,Cryptocurrency purchase,482.42,0.0
