Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-12,Subscriptions,UPI,Monthly magazine subscription,236.29,11.87
2024-04-16,Food,Net Banking,Dinner at a restaurant,397.76,25.95
2024-04-10,Travel,Debit Card,Sightseeing tour tickets,803.42,59.79
2024-04-13,Personal,Cash,Personal care products,807.68,51.13
2024-04-22,Personal,Cash,Hobby supplies,364.82,21.06
2024-04-25,Personal,Cash,Clothing purchase,16.15,1.47
2024-04-27,Transportation,Debit Card,Public transport monthly pass,457.44,25.83
2024-04-08,Groceries,Credit Card,Weekly grocery shopping,832.98,13.12
2024-04-22,Investment,Net Banking,Cryptocurrency purchase,314.33,0.0
2024-04-13,Travel,UPI,Sightseeing tour tickets,238.2,20.8
2024-04-17,Bills,Cash,Electricity bill payment,40.71,1.06
2024-04-18,Travel,Credit Card,Sightseeing tour tickets,729.24,67.51
2024-04-20,Subscriptions,Net Banking,Gym membership,481.71,3.05
2024-04-03,Groceries,Credit Card,Snacks and drinks for the week,203.15,17.05
2024-04-20,Gifts,Net Banking,Birthday gift for a friend,581.42,18.06
2024-04-21,Personal,Credit Card,Clothing purchase,95.08,2.82
2024-04-05,Food,Credit Card,Dinner at a restaurant,25.78,1.69
2024-04-17,Entertainment,Debit Card,Streaming service subscription,323.65,8.1
2024-04-19,Investment,Net Banking,Investment in startup,234.23,0.0
2024-04-22,Investment,UPI,Bond investment,420.12,0.0
2024-04-16,Travel,Net Banking,Hotel booking for vacation,492.33,1.15
2024-04-16,Investment,Net Banking,Bond investment,767.16,0.0
2024-04-11,Investment,Cash,Bond investment,22.72,0.0
2024-04-17,Entertainment,Debit Card,Dining out with friends,486.9,4.07
2024-04-26,Bills,Debit Card,Electricity bill payment,685.67,53.16
2024-04-27,Gifts,Debit Card,Charity donation,664.7,54.21
2024-04-14,Gifts,Net Banking,Gift for a colleague,883.25,73.88
2024-04-03,Personal,Cash,Personal care products,458.75,18.44
2024-04-17,Investment,Debit Card,Real estate investment,381.49,0.0
2024-04-17,Transportation,Net Banking,Public transport monthly pass,553.77,40.23
2024-04-24,Groceries,Credit Card,Buying meat and dairy products,531.61,37.32
2024-04-07,Personal,UPI,Personal care products,447.68,8.07
2024-04-25,Travel,Cash,Travel insurance,147.02,1.5
2024-04-05,Gifts,Credit Card,Gift for a colleague,647.35,9.12
2024-04-08,Groceries,Cash,Buying meat and dairy products,381.92,10.34
2024-04-20,Transportation,UPI,Public transport monthly pass,264.76,3.4
2024-04-11,Food,UPI,Dinner at a restaurant,625.92,8.52
2024-04-06,Transportation,UPI,Public transport monthly pass,353.15,15.73
2024-04-26,Subscriptions,Debit Card,Software subscription,255.87,21.57
2024-04-11,Groceries,Cash,Snacks and drinks for the week,498.31,28.82
2024-04-20,Gifts,Net Banking,Gift for a colleague,242.47,5.5
2024-04-22,Groceries,Cash,Buying fresh produce,355.31,33.64
2024-04-08,Transportation,Cash,Taxi fare to a meeting,980.83,88.68
2024-04-23,Gifts,Net Banking,Birthday gift for a friend,403.52,16.73
2024-04-26,Gifts,UPI,Gift for a colleague,206.42,15.86
2024-04-07,Groceries,Cash,Snacks and drinks for the week,228.12,14.51
2024-04-16,Investment,Debit Card,Mutual fund contribution,891.03,0.0
2024-04-15,Food,Net Banking,Takeout from a local diner,102.68,3.99
2024-04-13,Bills,UPI,Mobile phone bill,434.79,34.23
2024-04-24,Travel,Debit Card,Car rental for the trip,43.17,1.59
2024-04-12,Gifts,UPI,Birthday gift for a friend,759.72,34.29
2024-04-20,Groceries,Debit Card,Household supplies,884.1,78.5
2024-04-24,Groceries,Credit Card,Weekly grocery shopping,967.59,92.99
2024-04-10,Gifts,Cash,Holiday gift,289.59,22.94
2024-04-21,Entertainment,UPI,Concert tickets,294.66,2.67
2024-04-16,Entertainment,UPI,Movie tickets for the weekend,598.18,33.14
2024-04-27,Transportation,Cash,Parking fees,788.24,64.6
2024-04-12,Travel,Credit Card,Flight tickets to a destination,537.0,21.73
2024-04-20,Transportation,Debit Card,Uber ride to the airport,774.51,6.94
2024-04-01,Entertainment,Debit Card,Movie tickets for the weekend,763.1,13.93
2024-04-11,Transportation,Credit Card,Parking fees,446.66,5.35
2024-04-10,Entertainment,Net Banking,Concert tickets,980.78,71.97
2024-04-05,Food,Cash,Snacks for cravings,282.72,15.65
2024-04-23,Entertainment,Debit Card,Concert tickets,590.93,6.73
2024-04-02,Bills,UPI,Internet service charge,685.03,51.16
2024-04-10,Subscriptions,Cash,Streaming service subscription,817.67,46.07
2024-04-03,Transportation,Net Banking,Taxi fare to a meeting,507.96,2.01
2024-04-19,Groceries,UPI,Household supplies,32.06,1.15
2024-04-19,Bills,Credit Card,Internet service charge,598.63,45.64
2024-04-18,Groceries,UPI,Snacks and drinks for the week,531.66,42.73
